test_blocks,train_blocks_after_purge,test_fold_count,monthly_median,monthly_p25,monthly_p10,positive_rate,ruin
"0,1","3,4",6,0.32377734584926,0.10238853403455622,0.03186800061368433,1.0,False
"0,2",4,6,0.20755694913257017,0.03889698391734453,-0.010347775447295482,0.8333333333333334,False
"0,3",,6,0.22478405391986056,0.05289188806985651,0.03225294155385727,1.0,False
"0,4",2,6,0.1667791083685013,0.05708384910757547,0.03241763174274015,1.0,False
"1,2",4,6,0.1569111645536566,0.023869049162798583,-0.01917054267057794,0.8333333333333334,False
"1,3",,6,0.17772583718019153,0.03485379688632545,0.019842606491330295,1.0,False
"1,4",,6,0.1667791083685013,0.039292793207368726,0.02000729668021317,1.0,False
"2,3",0,6,0.05791787262425718,0.024446460573057993,-0.018785601730405,0.8333333333333334,False
"2,4",0,6,0.0663017946996951,0.024693495856382308,-0.018620911541522123,0.8333333333333334,False
"3,4","0,1",6,0.08711646732623002,0.035100832169649765,0.02039223762038611,1.0,False
