scope,scenario,fold_count,monthly_return,total_return,annualized_return,monthly_p10,monthly_median,max_drawdown,equity_ruined,positive_fold_rate,fold_rate_above_3pct,fold_rate_above_8pct,fold_rate_above_12pct,fold_rate_above_20pct,profit_factor,number_of_grids,orders,orders_per_month,grids_per_month,cost_total_per_month,net_pnl,net_pnl_per_order,expectancy_per_grid,effective_leverage,max_notional
wf_pre_holdout,zero_fee_0bps,15,0.22853653951479092,19.967101050388273,10.821073976173327,0.029774752182682506,0.1064181207616004,-0.2039523670132426,False,0.9333333333333333,0.8666666666666667,0.6,0.4666666666666667,0.4666666666666667,1.661804340762392,925,2157,145.91397152448198,62.573214492418096,0.0,3.791492758843961,0.0017577620578785168,0.00409891109064212,36.12095312500001,361209.53125000006
holdout_90d,zero_fee_0bps,1,0.02339196535878263,0.07076208896357206,0.319787577012864,0.02339196535878263,0.02339196535878263,-0.24449976707565801,False,1.0,0.0,0.0,0.0,0.0,1.0505756164118991,219,484,163.68611111111113,74.06458333333333,0.0,0.07076208896357218,0.0001462026631478764,0.00032311456147749855,36.12095312500001,361209.53125000006
combined_oos,zero_fee_0bps,16,0.18411627871770642,21.45077692022405,6.598576143445632,0.026178424421044788,0.10007010144399087,-0.2039523670132426,False,0.9375,0.8125,0.5625,0.4375,0.4375,1.5418306866097515,1144,2641,147.02473024864634,63.2914250449753,0.0,3.862254847807533,0.0014624213736491984,0.003376096894936655,36.12095312500001,361209.53125000006
wf_pre_holdout,zero_fee_0p25bps,15,0.2164653496859279,17.119175872533415,9.50018410358539,0.019765618303295707,0.09550038940166794,-0.20595247219321255,False,0.9333333333333333,0.7333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,1.6215446326265777,925,2157,145.91397152448198,62.573214492418096,0.006043887965802829,3.619254141831697,0.0016779110532367625,0.003912707180358591,36.12095312500001,361209.53125000006
holdout_90d,zero_fee_0p25bps,1,0.011420094545235626,0.034146527690378736,0.14598500113286472,0.011420094545235626,0.011420094545235626,-0.25040522555036426,False,1.0,0.0,0.0,0.0,0.0,1.0240684422908077,219,484,163.68611111111113,74.06458333333333,0.006379424719459397,0.03414652769038011,7.05506770462399e-05,0.00015592021776429275,36.12095312500001,361209.53125000006
combined_oos,zero_fee_0p25bps,16,0.17254604338498702,17.737882813191717,5.753965944945141,0.01543888004819649,0.08711646732623002,-0.20595247219321255,False,0.9375,0.6875,0.5,0.4375,0.4375,1.5044931023722259,1144,2641,147.02473024864634,63.2914250449753,0.006064859012906366,3.653400669522077,0.0013833398975850349,0.003193532053778039,36.12095312500001,361209.53125000006
wf_pre_holdout,zero_fee_0p5bps,15,0.20438447812203053,14.633441846275318,8.314977222354713,0.0066959504967143875,0.08458415695993593,-0.20796221910323776,False,0.9333333333333333,0.6666666666666666,0.5333333333333333,0.4666666666666667,0.4666666666666667,1.5824369607537092,925,2157,145.91397152448198,62.573214492418096,0.012087787571335579,3.447015191299127,0.0015980598939727062,0.00372650290951257,36.12095312500001,361209.53125000006
holdout_90d,zero_fee_0p5bps,1,-0.0008356676809074814,-0.002468948242350111,-0.00998204984632256,-0.0008356676809074814,-0.0008356676809074814,-0.25631767582513576,False,0.0,0.0,0.0,0.0,0.0,0.998284184977547,219,484,163.68611111111113,74.06458333333333,0.012758853479842775,-0.002468948242350638,-5.101132732129418e-06,-1.127373626644127e-05,36.12095312500001,361209.53125000006
combined_oos,zero_fee_0p5bps,16,0.16091045931815318,14.594843687507074,4.992177758912861,0.001786864647242814,0.07416512741006043,-0.20796221910323776,False,0.875,0.625,0.5,0.4375,0.4375,1.4681871615444513,1144,2641,147.02473024864634,63.2914250449753,0.012129729190617278,3.4445462430567773,0.0013042583275489502,0.003010966995679001,36.12095312500001,361209.53125000006
wf_pre_holdout,zero_fee_1bps,15,0.17777466694220423,10.235789744399536,6.124370632937693,-0.03740900860860005,0.06275625072056212,-0.21201092116468345,False,0.6666666666666666,0.6,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.501713489814944,925,2157,145.91397152448198,62.573214492418096,0.024190040440904295,3.073430394317964,0.0014248634187844062,0.003322627453316718,36.12095312500001,361209.53125000006
holdout_90d,zero_fee_1bps,1,-0.026270814847824786,-0.07569964461872469,-0.2734621483199957,-0.026270814847824786,-0.026270814847824786,-0.2755955954941025,False,0.0,0.0,0.0,0.0,0.0,0.9488570874375167,219,484,163.68611111111113,74.06458333333333,0.025517723219005063,-0.07569964461872478,-0.00015640422441885285,-0.00034566047771107206,36.12095312500001,361209.53125000006
combined_oos,zero_fee_1bps,16,0.1355554445788032,9.38524445373778,3.5972712296195706,-0.040732244640381776,0.04826944404383493,-0.21201092116468345,False,0.625,0.5625,0.4375,0.4375,0.4375,1.3941257246768761,1144,2641,147.02473024864634,63.2914250449753,0.024273020614535595,2.9977307496992394,0.0011350741195377658,0.0026203940119748598,36.12095312500001,361209.53125000006
wf_pre_holdout,zero_fee_maker_miss10,15,0.16749495438897233,8.869995289689692,5.412983876340894,-0.019338043466350506,0.07244958184867722,-0.2126214871039761,False,0.6666666666666666,0.6,0.4666666666666667,0.4666666666666667,0.4,1.4956239066861527,925,2157,145.91397152448198,62.573214492418096,0.0,2.8394411120751126,0.0013163843820468764,0.00306966606710823,36.12095312500001,361209.53125000006
holdout_90d,zero_fee_maker_miss10,1,-0.026458939102958268,-0.07622756831721922,-0.2751447629820186,-0.026458939102958268,-0.026458939102958268,-0.26151051365166933,False,0.0,0.0,0.0,0.0,0.0,0.9455180547707095,219,484,163.68611111111113,74.06458333333333,0.0,-0.0762275683172194,-0.00015749497586202356,-0.00034807108820648127,36.12095312500001,361209.53125000006
combined_oos,zero_fee_maker_miss10,16,0.12755455680905858,8.11762954945424,3.2232887266775156,-0.025608968206264737,0.06275113527830367,-0.2126214871039761,False,0.625,0.5625,0.4375,0.4375,0.375,1.3876476179487767,1144,2641,147.02473024864634,63.2914250449753,0.0,2.7632135437578933,0.0010462754804081383,0.002415396454333823,36.12095312500001,361209.53125000006
